"","x"
"Fxyd6",0.0256048983657956
"Mapt",0.0255247231344607
"Fgfr1",0.0218310524520834
"Myo9a",0.0215137900317985
"Kif5c",0.0207467892462131
"Sept3",0.0205712172161698
"Nrxn1",0.0205094320216837
"Stmn3",0.0203854555651132
"Sstr2",0.020316669419561
"Gap43",0.0203072943593571
"Dcx",0.0197161725310502
"Crmp1",0.0194417926321309
"Nsg1",0.019175765303199
"Map1b",0.0183046003312447
"Stmn2",0.018201981341079
"Nnat",0.0181477980849228
"Gria2",0.0180332474693315
"Cntn2",0.0178266342053005
"Kcnk1",0.0175140238121061
"Nrep",0.0171613459826238
"Acat2",0.0167782969305471
"Plppr1",0.0160656298365835
"Nfib",0.0157434831491424
"Fdps",0.0155994219369121
"Dusp8",0.0155783936359488
"Trim2",0.0154136892664608
"Maneal",0.0152680144484746
"Armcx1",0.0150356046288766
"Snrpn",0.0149796270278415
"Flrt3",0.0144349101488294
"Ncam1",0.0141349675305799
"Zbtb20",0.0140579079572445
"Tuba1a",0.0138356034784861
"Ncan",0.0134089461649031
"Rtn1",0.0133943346872653
"Ptdss1",0.0133727938598464
"Sv2a",0.0133145838620567
"Dbn1",0.0131474379443042
"Mapk10",0.0127824417374465
"Dpysl3",0.0125707437710091
"Mllt11",0.0122313233093909
"Sox11",0.0122021978828647
"Hmgcr",0.0119884527346071
"Nav1",0.0117408871350852
"Nfix",0.0115923029467083
"Syt3",0.0111505927178539
"Klc1",0.0109992104860605
"Snx32",0.0109816783325241
"Armcx3",0.0109389901438676
"Pla2g6",0.0109011778091091
"Idi1",0.0108916060149082
"Syt11",0.0108454634842763
"Carhsp1",0.0107582867857048
"Nell2",0.0101023674458086
"Vps53",0.00995477059925471
"Fem1b",0.00993587333066409
"Tagln3",0.00954069232627711
"Tro",0.00927874812334089
"Chl1",0.00906820160963918
"Hmgcs1",0.00873221870185494
"Snca",0.00808187801125714
"Gfap",0.00790897765509681
"Stmn1",0.00782270956275394
"Tcf4",0.00763502734179861
"Neurod1",0.00726489269838281
"Elovl4",0.00714465977497951
"Tubb3",0.00680557845483952
"Epha4",0.0067594370816489
"Gpm6b",0.0066966150124983
"Usp22",0.00659897950817871
"Reep1",0.00627612866029982
"Ank3",0.00598163544385982
"Ddah2",0.00591105396681977
"Nap1l2",0.00589049974306503
"Kat5",0.0058773790346246
"Maged1",0.00546961067875119
"Syngr3",0.00537440271820061
"Gdi1",0.00525101769652532
"Ccdc166",0.00516869712331697
"Tsc22d1",0.00503450562577506
"Trim32",0.00436244009828786
"Gpm6a",0.00408115068976931
"Mpzl1",0.00337252547633004
"Crip2",0.00324545631160428
"Map2",0.00311979147423191
"Prmt2",0.00184902483064805
"Tecr",0.00102978517052847
"Cct7",0.000112494744593057
"Mturn",-0.000150187106984895
"Slc25a22",-0.00062602142044565
"Cyfip2",-0.0014558411829201
